post	hate_or_not_hate	implicit_or_explicit	implicit_class	extra_implicit_class_x	extra_implicit_class_y
These people are like poor innate white trash if Jews	hate	explicit_hate			
They're not white soup, they're an illegal immigrant parasite.	hate	explicit_hate			
This thing doesn't even look white!	hate	explicit_hate			
This woman will lie by deceiving the theft of treachery, killing everyone in the name of Islam, and the Muslims will never assimilate because they are racist #ameriphobia.	hate	explicit_hate			
tickling the surface of these people to kill us all #tr #stopislam #makedclisten #bansharia	hate	explicit_hate			
Utkh al-Hukka	hate	explicit_hate			
You can punch my mom, she's black.	hate	explicit_hate			
Well, whatever it is, my Jew-dark screams out loud.	hate	explicit_hate			
People don't understand that white and white property are inherently cruel and evil, so v	hate	explicit_hate			
White lives don't matter, diversity means stalking the last white man.	hate	explicit_hate			
White nationalism is gay.	hate	explicit_hate			
We have a platform to protect against cops who are already #fuckblm	hate	explicit_hate			
Syria's White Pride	hate	explicit_hate			
The white one is broken... afraid of a drooling longer color.	hate	explicit_hate			
A white woman raped by a Geitan savage accuses white civilization	hate	explicit_hate			
Yes, white people are the most pathetic people in the world.	hate	explicit_hate			
You made mexico again from America on your bio... you lost the war you want, Aztlan... we have laws against you, go home, Pendenia.	hate	explicit_hate			
You must die, racist bastards.	hate	explicit_hate			
""" I stand by the confederation, but I hate you white racists! """	hate	explicit_hate			
"Almost all Jews are anti - white and are not honest about the Jewish superiority in America. """	hate	explicit_hate			
#Islam is a political ideology. It's like cancer of malignant cancer in this case. #It's amazing Michael's National Security Adviser. #Flynn	hate	explicit_hate			
Even the non-white Christians you praise...	hate	explicit_hate			
White children are beaten on the heads by wild blacks in southern Africa, a white woman raped and white farmers executed...	hate	explicit_hate			
...more human suffering in the name of Elam - ridiculously calls the religion of peace a madman!	hate	explicit_hate			
I suspect I hate all whites.	hate	explicit_hate			
Because it offends the left shitty feelings of white people.	hate	explicit_hate			
A black man (who hates all whites) kills a white man for standing in the way of the pavement.	hate	explicit_hate			
Can faggots join if they're white?	hate	explicit_hate			
Pidors : kkk alive and well white brother unite ku klux klan	hate	explicit_hate			
Go back to Mexico, I don't like it when democrats suck faggots.	hate	explicit_hate			
A sophisticated survey of white Americans, so a racist poll gives you an obvious racist answer 1 - shame on you Christians.	hate	explicit_hate			
He had to block immigration on iq... cut off most undesirables.	hate	explicit_hate			
He's definitely cloaked #Jew, my German scavenger discovers his sculpture.	hate	explicit_hate			
I've learned everything I need on September 11, 2001.	hate	explicit_hate			
I wish Louisana had let the white trash defile the heroes.	hate	explicit_hate			
Jews are not white idiots!	hate	explicit_hate			
How Jews Win the West (from 4-15 to 15) - Renegative Broadcasting # withjewsyoulose	hate	explicit_hate			
Kill those who are neither Christian nor Jewish: you must kill those who worship another god.	hate	explicit_hate			
The Mexicans weren't interested in this continent until the whites built something here.	hate	explicit_hate			
Not a fan, but agree with you on 20 and 30 something #cuckservants. Their #Yuge tram ammo columns.	hate	explicit_hate			
Now, to extract harmful, greedy cancer proteins.	hate	explicit_hate			
It's only white people who contaminate, brown people who enrich the goya!	hate	explicit_hate			
A racist simply means a gap if you're white, you're either racist or a piece.	hate	explicit_hate			
Rape beautiful white women because their women are disgusting and ugly.	hate	explicit_hate			
Instead of trying to build our own institutions within the existing power structure, there must be a movement that seeks to get the whites out of the traditional society, as hippie wanted, why does no one talk about it? #whitegenderide	hate	explicit_hate			
Roy Roy's gonna rape the kids.	hate	explicit_hate			
I'm sorry... my white privilege put the black racist guilt behind me.	hate	explicit_hate			
Stopping all immigration from the third world to hide our country is being stolen.	hate	explicit_hate			
The distinctive feature of #cuckservator is pride in disappointing yourself.	hate	explicit_hate			
Loud idiot and racist jelly Hill; the dryer is not a white souper, but Bill Clinton.	hate	explicit_hate			
: uk : muslim kidnaps a woman : you white women are good at it #tcot	hate	explicit_hate			
We're surrounded by self-loathing liberal white bastards... wherever I look. 50 years ago, this place was white... shame.	hate	explicit_hate			
We have to preserve the white race, I'm ashamed of being British, I find Asian disgusting and disgusting.	hate	explicit_hate			
Yes, their minds were contaminated by Jewish media.	hate	explicit_hate			
""" We Love Dead Persons With Brown Skins "" and We Fund White Racist Killers With Our Buffs #Love Buffs """	hate	explicit_hate			
"uk : muslim kidnaps a woman: ""You white women are good at it. """	hate	explicit_hate			
♪ The Fergusons must be destroyed to have fun with murder! ♪ Free threshing ♪ We're not slaves	hate	explicit_hate			
Another white man in #killer #whitegenocide #nigga Network #not your glass	hate	explicit_hate			
Come to my neighbor's muslim faggots.	hate	explicit_hate			
Democrats aren't white people who are a problem, they're psychopaths who are violent democrats who just turned out to be white.	hate	explicit_hate			
You boomers really want the approval of anti-Fai terrorists, don't you?	hate	explicit_hate			
Ericson's fat and kitten.	hate	explicit_hate			
Dirty white trash is all you're... full of devil hate.	hate	explicit_hate			
Go with them for illegal white trash.	hate	explicit_hate			
I hate Muslims, they're terrorists, they all lie and kill by the name of God, and all Muslims are ignorant.	hate	explicit_hate			
What a troll, but I sent them faggot incest.	hate	explicit_hate			
If you hire illegal people, you support slave cheap labor, and you have to go with cheap bastards!	hate	explicit_hate			
It's over. Donald Trump's best amnesty strike isn't gonna be financed through the border wall.	hate	explicit_hate			
Stupid white liberals at a demonstration apologise for the slavery of blacks... words fail me...	hate	explicit_hate			
These maggots are the worst with their civic nationalism and fly constitution, and I just can't stand them.	hate	explicit_hate			
I'm gonna love to kill you, white punks.	hate	explicit_hate			
What kind of sick white man would be sexually attracted to non-white migrants	hate	explicit_hate			
White genocide will work very well in us.	hate	explicit_hate			
White genocide is good.	hate	explicit_hate			
White men who meet non-white women are sexual mistakes.	hate	explicit_hate			
White sons of bitches are gay!	hate	explicit_hate			
""" The foundation "" in the south has been proved to be a bunch of weak faggots. """	hate	explicit_hate			
"Arabs and Muslims are actually telling the truth about Jews and their national dreams, unlike our dolls of ""political leaders. """	hate	explicit_hate			
"This will not happen unless white liberals, centrist, independent & igbts, are destroyed. """	hate	explicit_hate			
#kukluxlan forever!	hate	explicit_hate			
:: Jewish Sucreakists call for a massive invasion of America to demand that all Negroes be deported from Israel.	hate	explicit_hate			
Like a Jewish pedophile ring.	hate	explicit_hate			
Against the claim that Alfred Rosenberg's diary does not confirm the Jewish myth of the Holocaust. #holohoax through	hate	explicit_hate			
The Ministry of Justice and President Chuck are opening an investigation into civil rights in Charlotteville through	hate	explicit_hate			
Every white European-based country is strangled by the old Zionist Jewish impulse of diversity. Diversity does not benefit us, white Americans. We don't hate you guys and don't hate you. We just don't want our country to be given to a bunch of three worlds.	hate	explicit_hate			
Negro beasts do this to a white woman all the time, and Jewish media never report it (defending their pawns)	hate	explicit_hate			
Dirty Muslims don't kill people dirty cars kill people?	hate	explicit_hate			
A cruel left Jew and a jihad.	hate	explicit_hate			
Immediately after the Islamic prayers, she went to kill	hate	explicit_hate			
How about a class for Jewish fans who think they're God-chosen?	hate	explicit_hate			
I'm equally honest, I look better than white skin, I don't like black, I'm a pure racist.	hate	explicit_hate			
I'm happy to stay in a hotel where I do business for America, which hates muslim terrorists who will kill us.	hate	explicit_hate			
Illegals are succubus and leechs.	hate	explicit_hate			
Not black, and being a cop hater and a racist bully that he's only gonna promote cops on black or white on black complaints.	hate	explicit_hate			
Jewish Communists and Hatred of Genocide in White Research # with Jewswelose #Hitler were right	hate	explicit_hate			
Murder is the murder of Farouk, the murder of Islam, the love of America, the love of Jesus.	hate	explicit_hate			
Kill these people.	hate	explicit_hate			
Look at these stupid white people, I think they think it's black.	hate	explicit_hate			
Looks like they're expecting more monks than whites.	hate	explicit_hate			
Muhammad, an example for 1.7 billion Muslims... a rapist-military commander and the devil... let's not import any more Islam.	hate	explicit_hate			
Muhammad was a paedophile and a European invader.	hate	explicit_hate			
Oh, my God, retarded... religion can really kill your brain.	hate	explicit_hate			
Einstein's gone, he was Jewish anyway.	hate	explicit_hate			
Oh, honey, it was nice being the first one to fall under the weight of his stupidity.	hate	explicit_hate			
OK, here you are: save the fighter... the immediate separation of the black and white across the world... otherwise, rahova... you destroyed Rhodesia and South Africa... either we step in to fix the situation for Boer, or we step in to get you out of here.	hate	explicit_hate			
One way to counter this is to kill a kafir, which Kuran says to kill.	hate	explicit_hate			
Only liars and white faggot knights.	hate	explicit_hate			
People cry about the columbia, but genocide is natural, and we need to wipe the Muslims before they knock us out, and it's gonna be too late.	hate	explicit_hate			
I don't see white men raping women all the time because they attacked a burka or tied bombs to their children.	hate	explicit_hate			
Send all #black matter activists to Liberia.	hate	explicit_hate			
You're a degenerate, a lying anti-white racist.	hate	explicit_hate			
I defend the interests of white countries and people.	hate	explicit_hate			
Spencer of a racist Jew: draw public attention to rabbis who suck blood out of penises of boys infected with thousands of z/herpes.	hate	explicit_hate			
Capitalist and Islamic fanatic is the real devil who must be killed by a huge nationalist fist.	hate	explicit_hate			
Then do something, fat white lybtars.	hate	explicit_hate			
This is really aimed at white German women there who are stupid enough to copulate w/ savages.	hate	explicit_hate			
:uk video: Your Jew, not Jewish Jewish Jew! #tcot	hate	explicit_hate			
The white minority doesn't say that a smart Jew: #with jewswelose	hate	explicit_hate			
Why do you ask that more Muslims be allowed to invade the white countries and kill the white people?	hate	explicit_hate			
Over 60 per cent of whites entering the parish say that racist homophobic hillbils	hate	explicit_hate			
In six years of our lives, I've become a solid nationalist, so I'm willing to fight for the racial superiority of the white race.	hate	explicit_hate			
You stupid white people gave it to us.	hate	explicit_hate			
You can take your white devil from the ilam... you train the hoppin weirdo... from a typical white man... typical white privileges...	hate	explicit_hate			
You lie racistly.	hate	explicit_hate			
""" Good Whites "" are once again struck in the face. """	hate	explicit_hate			
"Because they know that the backwards will hear ""Ilam "" and want to kill all Muslims."	hate	explicit_hate			
"#Cuckservants believe that being ""Racist "" is worse than the whites who were raped and destroyed. """	hate	explicit_hate			
White trash joins the racist wild party in betraying its own race -- >;	hate	explicit_hate			
"You've confused the words: Jewish and white trash. """	hate	explicit_hate			
The army's gonna kill every one of you kutbi, radical gi.	hate	explicit_hate			
:: The Mayor of New York, who mixed race, provides credit cards to 500,000 illegal non-white invaders	hate	explicit_hate			
Robert Spencer forced Muslims to kill Jews.	hate	explicit_hate			
:: Through: Boko-Haramian leader: kill Christians! #tcot	hate	explicit_hate			
At least we'll know where to send all the illegitimates to drain your economy!	hate	explicit_hate			
Blacks kill and rape whites 24/7 and are responsible for slavery, but all blacks are innocent.	hate	explicit_hate			
By diversification, you mean a plague that resembles nothing of an endless history.	hate	explicit_hate			
Kevin Williamson hates Donald.	hate	explicit_hate			
Every time a Jew shoots a pale-white zionism, he gets a little stronger.	hate	explicit_hate			
Practice your 2a from 1a and watch the anti-fascinated faggots run.	hate	explicit_hate			
A good blem is a racist hate group, and there should be no press, let them die in the media.	hate	explicit_hate			
It's a good thing they're playing the children's card in this dangerous game, they're cold-blooded killers.	hate	explicit_hate			
Grandpa and Grandpa came here legally... more than I can tell you about illegal/immigrant daka... deport them all!	hate	explicit_hate			
How I hate porridge!	hate	explicit_hate			
I'm worried white cops are targeted by racist black bandits in the wrong color as Annie is, or if a black man can play James's connection!	hate	explicit_hate			
Jews demand more money for a racist Israel.	hate	explicit_hate			
Jews should not be part of our ruling class, we should not allow them to enter any white society.	hate	explicit_hate			
Truth is an organization, not an organization of hatred.	hate	explicit_hate			
There's no such thing as a British Muslim, his simple old murder of a Muslim, thank you.	hate	explicit_hate			
Not all immigrants look like this ignorant white trash.	hate	explicit_hate			
Oh, yeah, I forgot... America collected all the black and brown people and filled them with gas.	hate	explicit_hate			
Russian antifa is the biggest bunch of faggots in the world.	hate	explicit_hate			
So you're supporting the geeks that get into the white gene pool and contaminate it?	hate	explicit_hate			
The groaning poet is a racist cracker.	hate	explicit_hate			
We're the highest race, we're going to dominate politically, economically and socially. #whitepride #white	hate	explicit_hate			
It's a terrible tattoo, white trash.	hate	explicit_hate			
On the northwest front, no Jews, no faggots, no mud-sharks.	hate	explicit_hate			
a white liberal liberal face	hate	explicit_hate			
White trash continues to... remove them #fundsoff #opkk	hate	explicit_hate			
"""third world"" is a third world problem."	hate	explicit_hate			
It's a war between humanity and the freedom of Jews and Jews of the white race and murderers.	hate	explicit_hate			
The ignorant white trash wants the wall.	hate	explicit_hate			
Luta is the most expensive state in America through #Latterdaysnakes #cuckservatives #mons #trum2016	hate	explicit_hate			
The only choice is to kill them before they kill you.	hate	explicit_hate			
Vnn Forum - dead white people straight	hate	explicit_hate			
Just in time... let's make these fat white people lose weight.	hate	explicit_hate			
We have to do something about dangerous white people first.	hate	explicit_hate			
White America is reducing us, the blue yellow black and idiots we're gonna take over, repent of your racist sins!	hate	explicit_hate			
When the blacks finally realize that the enemy is Mexican and not white America will win the border war.	hate	explicit_hate			
White terrorists	hate	explicit_hate			
Why not? #lamisis problem #bansharia #banthehijab... we don't really care what Keir thinks	hate	explicit_hate			
Yeah, faggots.	hate	explicit_hate			
Yeah, it's time for people with the right to buckle up and start shooting at these kids, no doubt.	hate	explicit_hate			
You're a fake orange sale of a vendépatriot, the Cionist Cashier, your base hates you right now.	hate	explicit_hate			
You troll democrats can call us pathetic racists and white soupers, but don't call us whining and losers like you!	hate	explicit_hate			
The blacks have captured the flourishing white cities and destroyed them.	hate	explicit_hate			
"""Migration"" is more like the intestinal movement of Arab rapists into the Western world, who will then claim that they are"""	hate	explicit_hate			
""" Kill any Jew who falls into your power "" — ""Mohammad """	hate	explicit_hate			
He hates white people.	hate	explicit_hate			
Cuckservants : Randpool rise and fall	hate	explicit_hate			
Natalie Portman questions the central importance of the false Jewish Holocaust story.	hate	explicit_hate			
Fuckers.	hate	explicit_hate			
He saw a movie where white people were nice, and the dark wanted to kill a dwarf, and now he has to testify.	hate	explicit_hate			
Hud destroys projects and sends ghetto residents to suburbia with housing vouchers. See Memphis and Atlanta.	hate	explicit_hate			
Islam is death, why don't we kill them all before they kill us.	hate	explicit_hate			
They're blacks who hold us like humans, I can see it.	hate	explicit_hate			
Never miss a chance to confirm what people don't like about these dirty javas.	hate	explicit_hate			
Jews want white genocide, not white women.	hate	explicit_hate			
The Jews kind of want the white goym to fight the Iranian Goyim to kill us both in Sa.	hate	explicit_hate			
Making America white again, deporting & neutralizing all non-white white forces forever #immigration	hate	explicit_hate			
Muhammad was the murderer of a Jew! rt #stopislam #billwarnerphd #Polyticols #csi #bansharia	hate	explicit_hate			
Moslem invaders will be done with #	hate	explicit_hate			
No, because they're just doing their job; black thugs attaching white chicks and other helpless people, contemptible are wild.	hate	explicit_hate			
There's no auto-nationality, an extended visa for the good... deportation for the rest of us.	hate	explicit_hate			
White Fire or the End of America's White Garbage	hate	explicit_hate			
Parents and brothers and sisters... put pressure on the lives of citizens of the social security system! We demand that illegitimates deport and complete the program for anchor children! #nodreamact	hate	explicit_hate			
people create their own poverty	hate	explicit_hate			
Please sign and look at my Jew in a white genocide playlist without profit.	hate	explicit_hate			
That bastard thinks you're a pale sucker!	hate	explicit_hate			
u fukkine white fugu moon	hate	explicit_hate			
We're n3 to shut up from the barnet.	hate	explicit_hate			
White people protesting the clot called themselves a dirty Jewish rat.	hate	explicit_hate			
You're no doubt a baboon in the shape of a hiccup.	hate	explicit_hate			
"""Kill any Jew in your power"" - ""Muhammad in the Sire of Ibn Ishak."""	hate	explicit_hate			
"Christians who hate priests say: ""Kill the gays. """	hate	explicit_hate			
"America will soon come: ""By the spell we will kill you all faggots! "" —"" The Muslims attack a gay club in Paris. """	hate	explicit_hate			
That is why international Jews/bankers had to destroy ns before it spread to other nations.	hate	explicit_hate			
"Marxist/gay America #withjewswelose """	hate	explicit_hate			
"We ""whites "" were counted 100 km to 1 km * before that and went to the top eventually. "" I think we have this buddy. """	hate	explicit_hate			
"White people do not exist because humans and white ""people "" are human beings."	hate	explicit_hate			
& I'm talking about her political correctness channel for Jews and race #Hitler was right.	hate	explicit_hate			
as a result of many years of oppression and exploitation of the white #worker class #whitegenocide #hitler was right	hate	explicit_hate			
It's a white country!	hate	explicit_hate			
Always be armed in case you meet anti-fascist faggots, lesbians, or communists!	hate	explicit_hate			
But why are we putting up with the Jewish threat?	hate	explicit_hate			
Anti-white Jewish child molestation jokes on Saturday live #withjewswelose	hate	explicit_hate			
At least this time they'll finally get the right people, the Jew about the violence of the Jews, I like it.	hate	explicit_hate			
Finally, we can start talking openly about the lying subversive Jews who are destroying America! #maga	hate	explicit_hate			
You must learn from Jesus, who hates your work.	hate	explicit_hate			
But the tram continues to grant amnesty to garbage dreamers.	hate	explicit_hate			
California: Imam calls on Muslims to kill and destroy Jews	hate	explicit_hate			
He destroyed his white genes. 1000 years of pure genetics in the plum!	hate	explicit_hate			
Jonah Goldberg takes his toys and goes home.	hate	explicit_hate			
Stop acting like a bunch of stupid faggots and kick the invaders out of your country!	hate	explicit_hate			
Tranny's dirty Jew says the European bride criticizes the murder of children by Jews because a white man colonized Africa through	hate	explicit_hate			
Dirty Jews are not white, and Jews do not fight, and they also receive others.	hate	explicit_hate			
Hello, Hale, don't think it's worse that even the Republicans are Jewish in your country right now.	hate	explicit_hate			
I think the ideals of white civilization and collective white culture are absolutely superior to us, and we don't need to apologize.	hate	explicit_hate			
I hate all traitors who block India's streets, protesting against the Palestinians' #israeli bombings.	hate	explicit_hate			
I know you're all broken, but you can help make America white again by sending this black frog.	hate	explicit_hate			
If people are tracking history, the Jews stand behind the white genocide is the same combat killer who & sho	hate	explicit_hate			
A group of Jewish haters falsely claim that the Celtic Cross is a symbol of hatred, full of history:	hate	explicit_hate			
The Jewish comedy river Joan says Obama's barack is gay and Michelle Obama's a transvestite:	hate	explicit_hate			
Maggie Dihart is a racist, I've been working full-time for seven years since I graduated from high school without any help, all I've ever owned and done in my life that I've earned, if a white privilege is what I've burned seriously.	hate	explicit_hate			
Maybe we should make an anti-anonymous march on #new5 along these faggots. #opkkk	hate	explicit_hate			
He wants refugees all over the white world to end the white race.	hate	explicit_hate			
Oh, they love their Negro gods, they're using them to encourage the black and white race, mixed, they can wake up a few more whites!	hate	explicit_hate			
White-faced textbook: How to Stab a Jew	hate	explicit_hate			
"""Muslims want to kill you, but let's celebrate their cult... and don't go if you're white."" #dc"	hate	explicit_hate			
So now you're really going after drunk white trash, aren't you?	hate	explicit_hate			
Some white people are very smart, but most of them are stupid, poor white shit like you.	hate	explicit_hate			
Take away America's job.	hate	explicit_hate			
It's a disgusting hate speech, and then people wonder when Muslims rape white girls and prostitute them.	hate	explicit_hate			
The genetic basis of intelligence is not weighed by science and proves that the low level of black iq is the inheritance #thatatspanic Progressives	hate	explicit_hate			
The white man will soon be erased from this world!	hate	explicit_hate			
Black abortions alone are more frequent than white abortions; generally, abortion affects the most degenerate groups.	hate	explicit_hate			
Trump needs to be examined, not a faggot fan.	hate	explicit_hate			
We white people should not reproduce with each other. #whitegenocide	hate	explicit_hate			
I hate Jews. I hate Jews. #tcot	hate	explicit_hate			
We brought the blacks to America, but the whites were crackers.	hate	explicit_hate			
It doesn't matter if they're Jews, like English faggots like the kitchen, or creatures #trouconservatism like Ted Cruz, they don't have ethnic appeal.	hate	explicit_hate			
Who's gonna back you up?	hate	explicit_hate			
Why, because a Supremasist Jew said so?	hate	explicit_hate			
No wonder you're writing for this anti-white communist Jewish hoofpost... you're totally contemptible.	hate	explicit_hate			
Wow... look at you... white trash, I hope I see you outside.	hate	explicit_hate			
"It seems that Igbta activists only want ""vieracracies, a totalitarian state where everyone is subject to them or punished."	hate	explicit_hate			
"I support slavery so strongly that I think it should be returned. "" People "" worked and behaved well at the time. """	hate	explicit_hate			
"Jews are only ""white "" when something is shilling. """	hate	explicit_hate			
"Russian German (and other white) ""chiefs "" are not loyal to their people; they serve only Jews and the Jewish state. """	hate	explicit_hate			
#Mollymacowley was stabbed to death by black racists who were told that white spots were evil by the democrats	hate	explicit_hate			
..Exclusive hatred of a Jew in a quarry	hate	explicit_hate			
100% white, 100% racist, 100% national socialist #top #national socialism now #love #wp	hate	explicit_hate			
The best question is, since you say Muslims hate Jews, why do Jews stand behind every movement to drown Muslims into white nations?	hate	explicit_hate			
A white boy shoots the entire black church in the south, a hate crime, a black man shoots the whole white church in the south;	hate	explicit_hate			
You're too white to be indigenous while you're ugly and fat! # Small hands	hate	explicit_hate			
Barak-Obama is a racist, a black man who hates whites, and he's a Communist Mussim who hates America.	hate	explicit_hate			
Black face, Uncle Tom, this is your gratitude to the slaves who died for you. You always smile in the white face.	hate	explicit_hate			
Black students in Harvard are openly calling for the destruction of the white race.	hate	explicit_hate			
Christopher Bollin embarrasses an evil Jew during q &apos; a	hate	explicit_hate			
Democracy gives your enemies a place at the table... with tribal politics imposed on white Jews, we need a new way.	hate	explicit_hate			
Europe must follow national socialism to save itself from barbarians.	hate	explicit_hate			
Guys, I'm telling you, they hate us... they want us to die... wake up white.	hate	explicit_hate			
He gives priority to Syrian rapupuges, not the unemployed he loves, black compared to whites.	hate	explicit_hate			
Hey, guys at #ows are your worst nightmares: multicultural, secular, left-wing, gender gay angal.	hate	explicit_hate			
hippos: fuel stations without niggers have been maintained since 1921 more than :	hate	explicit_hate			
Holochox of Jewish York (1943): The Nazis kill Jews with gas cameras!	hate	explicit_hate			
I'm sorry you lost your good workers who let the white crackers work on how bad they are.	hate	explicit_hate			
"If there was a group called ""white life,"" and it was a group that had the same wishes as a white man, I'd be ashamed that I felt racist just because I was white... lm is just people pretending to be all other racists, but not them."	hate	explicit_hate			
Isn't it amazing for eight years under a racist black pot and two racist black rugs there's no problem with white horns?	hate	explicit_hate			
Mr. Jesus was a Jew, you bastards!	hate	explicit_hate			
A Jew is the one who beats you and screams for pain... dirty parasites.	hate	explicit_hate			
Rape of Jews is not just Muslims who raped #herman and European women in thousands.	hate	explicit_hate			
Jews destroy women: women's response destroys Nazis ♪ Traditional youth network ♪	hate	explicit_hate			
Lil an American white girl could kill five Negroes a mile away.	hate	explicit_hate			
That the memorial honors the non-whites, too, you're backwards if you're going to be a racist, at least,	hate	explicit_hate			
One Jew is too much.	hate	explicit_hate			
A radical extremist #Jew writer for #genocide advertising against white Americans is quite typical.	hate	explicit_hate			
Roth Robert Spencer with the racist hatred of a liar and a Jewish lover! > Hey, Robert I love a beard... a godless man.	hate	explicit_hate			
Squaaaad: kkk alive and well white brother hood connects ku klux klan	hate	explicit_hate			
You still believe in the myth of the 6 million-dollar murder of #Jewish #holocaust, like you believe in Santa when you're 40:	hate	explicit_hate			
The cultural jewels of the South have become a pit for transvestites and people of the third world.	hate	explicit_hate			
You're in the crowd, gang guy.	hate	explicit_hate			
too white wrong: white hysteria above white like snow Miss Frances through	hate	explicit_hate			
Truth is hatred of those who hate the truth and know no boundaries. #islamis test #banislam	hate	explicit_hate			
Unfortunately, some costume freak playing toy soldier is gonna kill a fat antif opensib.	hate	explicit_hate			
We have to stop #planetisrail... non-white hordes helping #Jew don't know that they have to die as well as once #Jews are allowed to land.	hate	explicit_hate			
We need to kill more people.	hate	explicit_hate			
We must purify all non-white residents!	hate	explicit_hate			
We must work to free ourselves from begging and self-hate of the white people for the platform, etc.	hate	explicit_hate			
They were racists for defending white pride, but the dark can have as much hatred as they want.	hate	explicit_hate			
White lunatics	hate	explicit_hate			
White trash and heroin match perfectly.	hate	explicit_hate			
White whores and black pimps are not news.	hate	explicit_hate			
Yes, kill all Christians.	hate	explicit_hate			
You don't understand the meaning of what I'm saying. 1 ) White colour. Jews can hide under a white cape because they look white.	hate	explicit_hate			
You Jews and teapots have been leechs on America's right instincts for 60 years and have only built a card house.	hate	explicit_hate			
"Proud boys are just a group of faggots who can't get tested for splc, which is generally accepted as anti-white. """	hate	explicit_hate			
"250,000,000 white people who mix the race by adopting Asians by raising ""mecha Babi """" by promoting homosexuality with one child. """	hate	explicit_hate			
"Yes bears: A white hero, Mike Ditka, attacks NFl Negroids as ""the oppression "" of deception through """	hate	explicit_hate			
"No one in America thought that the Irish were white when they came here on cocktails of Jews and dagos, defn't ""Arian. """	hate	explicit_hate			
"They should be closer to the matter and say, ""People of the whites we want you to die and replace you with slaves with low iq."""	hate	explicit_hate			
Admit that the Jews are not white, and they are the ones behind the white genocide.	hate	explicit_hate			
But he's not Jewish, he's a Christian, a typical Jew who hates Muslims.	hate	explicit_hate			
Can we exchange a few buses with white southern tanks to get her on the white team?	hate	explicit_hate			
It's a terrible power of white trash.	hate	explicit_hate			
I think they finally got it ~ American jews are bad for white people.	hate	explicit_hate			
If Muslims stop committing evil in the name of Elam and Jihad, no one will answer them with evil.	hate	explicit_hate			
It was just him surrounded by the helmet and the bannon Flynn and the sessions-- Flynn's missing-- the sessions are now targets.	hate	explicit_hate			
She was another fat, childless, depressed anti-white bullet.	hate	explicit_hate			
Kill her, she's black.	hate	explicit_hate			
Killing the unbelievers is the Quran.	hate	explicit_hate			
Kill yourself, racist faggots.	hate	explicit_hate			
Lololol Heather Hayer looks like a complete white trash!	hate	explicit_hate			
Look at this cutlet on the right that you can watch us press you, hooligan fags.	hate	explicit_hate			
Muslims are racist assassins of rapists, silly, delusional paedophiles of villains!	hate	explicit_hate			
Oh, look at another Jew pretending to be white...	hate	explicit_hate			
Somalis are awful... I've traveled many places with people, and all Somalis are aggressive and, frankly, crazy.	hate	explicit_hate			
Stop the evil Jew white genocide 2 - Grace :	hate	explicit_hate			
Next thing you know, you're gonna tell me I'm racist because the Mexican race is so disgusting.	hate	explicit_hate			
The truth is, blacks are a criminal plague from Detroit to Atlanta, Chicago, London and Toronto.	hate	explicit_hate			
Traitor &apos; s cupcakes	hate	explicit_hate			
You're lucky you don't live in Pakistani Muslims, and you're gonna kill four people just being a Jew.	hate	explicit_hate			
Why does any white man want to be around a fat black guy?	hate	explicit_hate			
Yeah, it's just protecting a Jew and killing everyone else.	hate	explicit_hate			
And black people still fail at all levels of the education system. No solution for low iq!	hate	explicit_hate			
We all hate the south and laugh at you. Your pride is pride in being a loser.	hate	explicit_hate			
Jews are enemies of the white race.	hate	explicit_hate			
You suck stupid white bread.	hate	explicit_hate			
You think you're a smart, dirty Jew?	hate	explicit_hate			
"Indeed, there are some ""disputes "" — Steve Bannon called Jared Kouchner a piece and a clove. """	hate	explicit_hate			
""" For aggressive radical anti - white fanatics corrupted by Jewish propaganda, know this: Your days are numbered. """	hate	explicit_hate			
"Yes, ""kill the Jews "" like this white child in Kansas. """	hate	explicit_hate			
#Bansharialaw #Banthequran #wakup #banislam #bancair #enoughisenough #muslimsare test #islamistis problem	hate	explicit_hate			
#white force # hanggers # niggers #porchomonkeys #antiqual farm equipment # fuckniggers # fuckngggers	hate	explicit_hate			
1 ) cuckservatism inc... dying movement. All energy w/Alt right & nationalism	hate	explicit_hate			
After #cuckservative, another powerful meme: #rapefugues	hate	explicit_hate			
That's why white brainless idiots like you support the tram :)	hate	explicit_hate			
Because the Jews are white too, they're caucasoid devils, but you hate them because they have a different religion.	hate	explicit_hate			
But wait, I thought non-white people weren't happy because they're genetic.	hate	explicit_hate			
Centers around the predatory control of fags and hire molesters like... why do they hate trams?	hate	explicit_hate			
Cuckservative wants to take the white heroes off the dollar and replace them with an ugly jerk, and he wants armed black men to shoot the whites.	hate	explicit_hate			
We've got a winner hunter and a Brendan award here.	hate	explicit_hate			
Don't envy them... obviously you're poor white trashmen who just hate the fact that Jews are smarter and richer than you are.	hate	explicit_hate			
Zakaria for #jihad #rape of white women	hate	explicit_hate			
I hate the black and Muslim race, I belong to the Aryan race, how can I help your movement?	hate	explicit_hate			
I hate white whores with heads.	hate	explicit_hate			
I hope you all die in the fire that your idiots built.	hate	explicit_hate			
Illegally, it's illegal to send illegal home.	hate	explicit_hate			
Islam is a terrorist group.	hate	explicit_hate			
It could be some Jew telling them... a Jew trying to get Muslims to bomb the Goyas!	hate	explicit_hate			
Muslims are always copying and spinning other people's work like a mohammad who copied and then screwed up.	hate	explicit_hate			
I'm not a jerk to hate jihads like you, you know what guilt is.	hate	explicit_hate			
